Word,IPA,Translation,Meaning,Meaning_Translation,Example,Example_Translation,Image,Sound,Sound_Meaning,Sound_Example
backpack,bækpæk,背包,A backpack is a bag carried on your back with two shoulder straps.,「背包」是用兩條肩帶背在背上的袋子。,She packed her books in a blue backpack.,她把書裝進一個藍色背包裡。,backpack_1397924728921.jpg,backpack.mp3,,
bathrobe,bɑːθrəub,浴袍,A bathrobe is a loose robe worn after a bath or shower.,「浴袍」是洗澡或淋浴後穿的寬鬆長袍。,He put on his bathrobe before making coffee.,他煮咖啡前先穿上浴袍。,bathrobe_1397924728921.jpg,bathrobe.mp3,,
belt,belt,皮帶,A belt is a strip of material worn around the waist to hold up pants or as fashion.,「皮帶」是繫在腰間用來固定褲子或作為時尚配件的帶狀物。,He tightened his leather belt.,他拉緊他的皮帶。,belt_1397924728921.jpg,belt.mp3,,
blouse,blaʊz,女式襯衫,A blouse is a loose-fitting shirt typically worn by women.,「女式襯衫」是女性常穿的寬鬆上衣。,She wore a floral blouse with jeans.,她穿了一件花布上衣配牛仔褲。,blouse_1397924728921.jpg,blouse.mp3,,
boots,buːts,靴子,Boots are sturdy shoes that cover the foot and part of the leg.,「靴子」是堅固的鞋子，能蓋住腳和部分小腿。,She wore rain boots to walk through puddles.,她穿雨靴走過水窪。,boots_1397924728921.jpg,boots_1397924728921.mp3,,
boxers,bɔksəz,男式平角內褲,Boxers are loose-fitting cotton underwear for men.,「平角內褲」是男性穿的寬鬆棉質內褲。,He prefers boxers over briefs.,他喜歡平角內褲勝過三角褲。,boxers_1397924728921.jpg,boxers_1397924728921.mp3,,
cap,kæp,棒球帽,A cap is a soft hat with a curved brim often worn for sports or sun protection.,「棒球帽」是帶有彎曲帽簷的軟帽，常用於運動或遮陽。,He wore a baseball cap backward.,他把棒球帽反著戴。,cap_1397924728921.jpg,cap.mp3,,
circle,sɜːkl,圓形,A circle is a round shape with all points at the same distance from the center.,「圓形」是一種所有點到中心距離都相等的形狀。,Draw a perfect circle using a compass.,用圓規畫一個完美的圓。,circle_1397924728921.jpg,circle.mp3,,
coat,kəut,外套,A coat is a warm outer garment worn over clothes in cold weather.,「大衣」是在寒冷天氣穿在外層的保暖衣物。,She buttoned her winter coat against the wind.,她扣上冬大衣抵禦寒風。,coat_1397924728921.jpg,coat.mp3,,
cone,kəun,圓錐體,A cone is a 3D shape with a circular base and a pointed top.,「圓錐」是一種底部為圓形、頂端尖的立體形狀。,An ice cream cone is shaped like a cone.,甜筒冰淇淋的形狀像圓錐。,cone_1397924728921.jpg,cone.mp3,,
cube,kjuːb,立方體,A cube is a solid shape with six square faces of equal size.,「立方體」是有六個相同正方形面的立體形狀。,A dice is a common example of a cube.,骰子是立方體的常見例子。,cube_1397924728921.jpg,cube_1397924728921_1397924728921.mp3,,
cylinder,sɪlɪndə,圓柱體,A cylinder is a solid shape with two circular ends and a curved surface.,「圓柱體」是有兩個圓形底面和一個曲面的立體形狀。,A soda can is shaped like a cylinder.,汽水罐的形狀像圓柱。,cylinder_1397924728921.jpg,cylinder.mp3,,
dress,dres,連身裙,A dress is a one-piece garment covering the body and extending down over the legs.,「連身裙」是一件式服裝，覆蓋身體並延伸至腿部。,She wore a red dress to the party.,她穿了一條紅色洋裝去參加派對。,dress_1397924728921.jpg,dress_1397924728921.mp3,,
earrings,ɪərɪŋs,耳環,Earrings are pieces of jewelry worn on the ears.,「耳環」是戴在耳朵上的飾品。,Her silver earrings sparkled in the light.,她的銀色耳環在光線下閃閃發亮。,earrings_1397924728921.jpg,earrings.mp3,,
gloves,glʌvs,手套,Gloves are coverings for the hands often used for warmth or protection.,「手套」是戴在手上的覆蓋物，常用於保暖或保護。,He wore wool gloves in the snow.,他在雪地裡戴羊毛手套。,gloves_1397924728921.jpg,gloves_1397924728921.mp3,,
hat,hæt,帽子,A hat is a covering for the head worn for fashion sun protection or warmth.,「帽子」是戴在頭上的覆蓋物，用於時尚、遮陽或保暖。,She tipped her wide-brimmed hat politely.,她禮貌地傾斜她的寬邊帽。,hat_1397924728921.jpg,hat.mp3,,
jacket,ʤækɪt,夾克,A jacket is a short coat usually worn for light warmth or style.,「夾克」是短款外套，通常用於輕度保暖或造型。,He zipped up his denim jacket.,他拉上他的牛仔夾克。,jacket_1397924728921.jpg,jacket.mp3,,
jeans,ʤiːnz,牛仔褲,Jeans are pants made of denim usually blue and durable.,「牛仔褲」是用牛仔布製成的褲子，通常是藍色且耐用。,He bought a new pair of black jeans.,他買了一條新的黑色牛仔褲。,jeans_1397924728921.jpg,jeans_1397924728921.mp3,,
mittens,mɪt(ə)ns,連指手套,Mittens are warm hand coverings with one section for the thumb and one for all four fingers.,「連指手套」是保暖手套，拇指獨立，其餘四指在同一個空間。,Kids wear mittens to build snowmen.,孩子們戴連指手套堆雪人。,mittens_1397924728921.jpg,mittens_1397924728921.mp3,,
necklace,nekləs,項鍊,A necklace is a piece of jewelry worn around the neck.,「項鍊」是戴在脖子上的飾品。,She received a pearl necklace for her birthday.,她生日時收到一條珍珠項鍊。,necklace_1397924728921.jpg,necklace_1397924728921_1397924728921.mp3,,
oval,əuv(ə)l,橢圓形,An oval is an elongated circle like an egg shape.,「橢圓形」是像雞蛋一樣拉長的圓形。,The mirror had an elegant oval frame.,那面鏡子有個優雅的橢圓形鏡框。,oval_1397924728921.jpg,oval.mp3,,
overalls,ˌdʌŋɡəˈriːz,背帶褲,Overalls are loose trousers with a front bib and shoulder straps often worn for work.,「背帶褲」是前面有護胸、帶有肩帶的寬鬆工作褲。,He wore denim overalls while gardening.,他園藝時穿著牛仔背帶褲。,overalls_1397924728921.jpg,overalls.mp3,,
